id,word,context,gold_sense
58,fam,missing all these faces and the others not in this pic our rugby nights the rugby fam and all the fun we had looking forward to when we can continue,social
59,fam,miss those days happy birthday to the best sister in the world i know i do not always show it but i love you so much and i am so proud of you sorry we are not celebrating under better circumstances but you will have way more fun with fam dab anyway,bio
60,fam,putting something exciting together with the team to give you some live music vibes from your living rooms in the meantime here is a lil clip from our last non virtual showcase featuring the fantastic band keep well guys folking fam x,social
61,fam,coping pretty well with my over affectionate fam and constant adoration and attention,bio
62,fam,yoruba actress yewande adekoya welcomes baby girl shares maternity photo sola oloruni hours ago nollywood actress yewande abiodun has welcomed a beautiful baby girl yewande abiodun shared the good news on her social media page the actress also shared her maternity photo on her social media page congratulations are in order as nollywood actress yewande abiodun put to birth a beautiful baby girl the elemosho actress took to her social media page to share the good news with her fans and followers on friday april the movie star expressed gratitude to god for safe delivery as she welcomes her baby girl into the world she shared a photo of her and husband on her official instagram page pay attention read the best news on nigeria s news app the new mother also shared a photo of her daughter although it was just one of her hands that was showing the excited mum described her daughter as her princess while noting that their lives together has just begun if you want to do cosmetics surgery do it life is too short toke makinwa tells female fans you are part of us now my little one she said as expected fans followers and her colleagues took to her comment section to celebrate with her monsuru omoalfa congrats sister aremumimostwantedlikecrudeoil congratulations jideawobona awwwwwwwwww our baby is here congratulations iamoyita congratulations tundeowokoniran congrats mam debbie shokoya woooow congratulations fam bosealaoo awwwwww big congratulations sis therealremisurutu congratulations darling chief femibranch yeeessssooooooo blessed be god who has indeed done great things congratulations my darling yewande and my dear brother abbey may god bless your little bundle of miracles pay attention get your daily relationship tips and advice on africa love aid group in a related celebrity story legit ng earlier reported that actor ibrahim chattah and wife welcome baby girl the actor s colleague actress bisola badmus shared the good news on her social media page nigerian radio station announces daddy freeze as its newest addition says it is proud to have him the film star share,social
63,fam,hi insta fam just wanted to check in on how everyone is been doing this week for me this week started with being back in work on easter monday failing to get my travel refunds still smashing out a few barry s uk home workouts my ig virtual tour to marrakesh and great ig live with chatting about our travel fails then yesterday i had a life flashing before your eyes kind of incident which brought out the kindness of passerbys despite the crazy times we are in so today i am grateful if you want to share anything from your week please do so below or in my dms otherwise i look forward to seeing you all this week with my next virtual tours the first to be revealed tomorrow and travel instagram stories takeovers,vocative
64,fam,finger lime tree i bought this as a lockdown present for myself along with a yuzu tree from i found them through when he posted his calamansi tree thanks for the tip what is finger lime i had no idea until i had it as a garnish ontop of sushi during innovative omakase dinner thank you for educating me chris it is also known as lime caviar because the flesh inside looks like tiny pellets of caviar and is native to queensland oz and it is fucking delicious i cannot wait to see this fruit next year welcome to the fam little buddy,social
65,fam,it is a super saturday and i have had a full out day this morning i choreographed a brand new intermediate jive for then taught a core class before my sosa class at pm where i taught the break down of steps for the first time it is been sweaty i cannot wait for the sosa fam to enjoy with me now time to do some study,social
66,fam,a very deep and heartfelt thank you to everyone who has attended my classes shared liked my posts sent me dm s to thank me for the class and supported me over the last few weeks it means the world putting myself out there online does not come naturally to me at all so this situation has given me a push be more present online and the support i have had has taken me out of the fear zone so thank you all once again i love you guys for my fam teaching rocket tomo at pm on their you tube channel members only p s this happened today i only bloody held a handstand without a wall i havn t seen my teacher in a while and i miss you are you proud x,social
67,fam,hey instagram fam i am a in london called yuuka i like walks playing with my ball and lying under the coffee table,vocative
68,fam,having lost two grandparents in the past few weeks i have got so much respect for the fam staying strong and cheerful,bio
69,fam,how was your day i had some big plans but not feeling well so just resting now can you believe i have not yet used this pretty pink blusher if i feel better i plan to use it tomorrow anyways i took enough pics of this beauty this was beauty was a treat to myself before my no buy especially since it was on offer hope all is well with you and you fam,bio
70,fam,thank you so much to all of jon s friends and fam who sent me secret video messages for his birthday here is an abridged version although my video editing abilities broke down halfway through happy happy corona birthday jc,social
71,fam,more homemade chicken i made a big batch for my fam since we have all been feeling a little under the weather this soup was much more broth y unlike my previous concoctions lmao it is more traditional i guess i used carrots onions celery and added quinoa half way through garlic ginger turmeric chicken veg stock simmer it all for as long as you want it is good stuff ukno highly reccomend especially in this crazy crazy flu season stay safe healthy my homies xxxx wish you all the light love,bio
72,fam,i will be in my garden not catching my flight today we were due to head to miami then naples orlando and then back to miami with the fam over the next couple of weeks but at least the sun is shining in england,bio
73,fam,hello i got dressed up to go to the kitchen with seconds to spare thank you with all my heart for organising such a perfect day and to all the fam pals who popped up along the way and to mother nature for another gloriously sunny day,social
74,fam,why is she so fiyah whoop whoop that is right fam we hosting a instalive heels workshop open to all levels with the amazing she is going to bring her infections positivity and amazing producer skills to the fam this class is however mia the aybfam will be accepting donations and we are giving of our donations to to help our heroes in the fight against covid donations will be able to do via a stories post thanks again fam for your support so far let us do the right thing always and stay safe,social
75,fam,if you are moving with time you are always going to fail during a world crisis companies that win pivot with times thank god for the internet they yooooo maverick why you always on phone swipe right for my response years ago i would get made fun of and laughed at for waiting to trade and have online business now that people are losing jobs and need an extra income that they can make from the safety of their own home and with the internet now they want to listen do not wait for disaster to happen to take your financial situation serious it is a scam it is gambling blah blah s till c onfused a bout m oney learn a skillet that is recession proof do not depend on a single income in time like fam growing up we taught to our time for money we were never shown to trade our for profit old ways will not open new ways anymore we must adapt in this digital era,vocative
76,fam,done by pm my fam are the lot,bio
77,fam,tb to london with the fam,bio
78,fam,months ago this was me at the brit awards shoutout to the lady that came in and did a mini photo shoot with me and me for her now we are in lockdown it is crazy how quick things can change i have seen some people use this time to start putting themselves out there and try the things they have always wanted to do which is so awesome i really do feel that for some people they just needed to give themselves permission to try and in a weird way the lockdown allowed that but honestly the lockdown has been nice to just slowwww down i have definitely taken advantage of that i have always struggled to give myself a break but man sometimes it is so needed whatever you have been up to this lockdown i hope you have managed to do what you wanted to do whether that is chilling on the couch creating content or spending time with your fam do what makes sense for you and check out my vid on tiktok because i just posted haaaaah,bio
79,fam,big love to the fam kind of obvious at this point but friday s event at ldn sadly will not be going ahead had been looking forward to joining the fold fam but no point being upset when it is beyond our control yea the future s pretty uncertain but just got to go with the flow to be honest currently practicing full social distancing hope you guys are staying at home xx,social
80,fam,more than one workout a day nah fam,vocative
81,fam,yo fam i know you are probably sick of people posting push ups and sick of home workout vids ads however i think you should go watch mine at the link in the bio because its the best in all seriousness its a full body workout that anyone can do in any apartment or house and i even put in multiple exercises so that if some are too hard for you i have demonstrated an easier version of that exercise and a more difficult version for experienced lifters go check it out link in bio give it a go and please make sure to like subscribe on yt,vocative
82,fam,it is and i just could not ignore this occasion to share some love cuteness and fluffiness i never thought me stacey would even think about celebrating this date i never had a doggie and certainly did not want all the extra responsibility especially after four kids i just could not imagine but then frankie entered our home lives and hearts less than months ago and we are all in absolute awe of this little fur ball but i definitely added another child to the fam he has no idea about what is going on in the world and he is just as happy and excited about everything as he usually is i feel that having him around at this crazy and scary time is so important he brings so much joy to my family in the midst of what is going on around us do not you think our pets are super helpful at keeping us upbeat at the moment,bio
83,fam,a great thinker was asked what is the meaning of life he replied life itself has no meaning it is an opportunity to create a meaning be honest when in trouble be simple when in wealth be polite when in authority be silent when in anger this is called the life management happy new glorious week fam,vocative
84,fam,been a minute since we cannot go to had to make the fluffy pancakes at home usually easter weekend means going home and seeing the fam this year we did not even realise it was a long weekend we enjoyed some time at home and used our balcony for the first time in case you could not tell from my stories lol,bio
85,fam,day something probably or or something is isolation walk jog run hello it is been a whole days since my last post and my oh my who even knows lord it is been a whirlwind and rollercoaster of emotions rushing through my mind and my has that shown up through my fitness journey i have fallen off the wagon eating and exercise for at least days and boy can i feel the difference i have been home isolating following a family member becoming very unwell well i am thankful to have been able to get myself out and about and even add another k to my previous k making it a good old pb on my return whoop to unfortunately slower than my previous sesss but we will work our way back up there nonetheless my brain has been in an ultra peculiar place navigating and trying hard not to overthink the actions of others during this tough time to my pals keeping me smiling with games quizzes and netflix recommendations phone calls thank you kindly to my long lost lover the gym i miss you sooooo much and i promise never to take you for granted again see you soon but for now we keep walking jogging and running stay safe fam,vocative
86,fam,remember the good old days when we could stand in group outside in the cold with our arms round each other miss my fam,bio
87,fam,mistletoe cactus fam cactaceae genus rhipsalis species r baccifera description a vigourus epiphytic cactus which originates from central south america tropics of africa and sri lanka the hanging cylindrical stems are to meters long occasionally up to meters laterals flowers are born in winter spring solitary small mm in diameter the petals are mm long cream coloured the edible sweet fruit is spheric maturing a few days after flowerong globose mm in diameter cultivation rhipsalis are not tolerant of frost c prefers a position in light to moderate shade well drained soil is essentila ph it requires a ample summer water more than other cacti but allow soil to dry slightly between watering the stem is crushed and used to treat the bites of coral snakes and wounds of venomous stingrays the whole plant is also used as an ingredient in curative herbal baths very easy to grow i definitely suggest r baccifera for all the beginners,social
88,fam,trc pootle run club part as the only rambo not currently in the fam home i decided to give a belated easter run socially distant breakfast a go safe to say it was worth the km i am v grateful my family is as rambo as always,bio
89,fam,coming onto the start of my th never ending weekend missing my friends and fam loads x,social
90,fam,easter weekend was supposed to be spent in naples but somehow this was better homemade focaccia bruschetta sparklers not homemade pizza noughties quiz homemade crumpets exploring fam what is in my mouth challenge complete with easter bonnet hats,social
91,fam,i miss my broskis on and off the camera throwback to january in cannot wait to get back to and see the fam,social
92,fam,sunday class and brunch we hear you say we sent out a survey questionnaire last week to everyone who is on our newsletter we wanted you to be as honest and savage as you could we have taken all the feedback in if anything we wanted you to be more savage as overall we are pretty happy with what you have been saying one thing that crept up was needed to get back to the monthly socials and a sunday class say no more barch fam this sunday we have a class at am and a table booked in the schoolhouse for am the legends at have done ya a deal for any brunch dish and soft drink for if you want to work out and not come brunch that is more than fine and if you do not fancy the workout but want to come for the best brunch in london then we understand that too book normally for the class let us know if you want us to put your name down for brunch,social
93,fam,why does this look like the cover of an indie bands first ep aka the fam came to london and this is the only photo i have to prove it lmao,bio
94,fam,visit our website to find details of the market s upcoming events including a special art x valentine s east art fair with our new spring botanical festival urban jungle east with dog s life a market show dedicated to your pets plus the return of our fam east family social and shop up link in bio just do not get so engrossed that you forget to look where you are going,social
95,fam,keep the blues away by flashing our pins this january plus no postage fees to our uk fam check out the link in our bio,social
96,fam,think i can safely caption this post a literal mood even though there is so much good i am taking from this time in isolation and luna does not know what is hit her i am missing friends and fam and defo will not be taking freedom for granted when this is all over,social
97,fam,how to best serve your community right now part seek support from your own community chat to your fellow coaches book in for that intuitive reading or energy healing sign up to work with the coach plan zoom calls with fellow light workers speak with your partner friends fam the support is there for you none of us need to go this alone practice patience it is all coming as long as we keep showing up keep putting in our energy keep believing keep being grateful for what we have in the now it is all coming it cannot pass you it is often only our heads that are rushing us our souls are not rushing tap in to your heart space your intuition regularly what is it telling you check you are open to receiving is your heart mind and body open to receiving all the goodness abundance and dream clients that want to make their way to you one of the things that enables me to most practice patience is to practice gratitude it no longer feels like a wait whilst we are in the midst of recognising and deeply appreciating what we have already experienced accomplished or got step up lead with your truth leaders become great not because of their power but because of their ability to empower others now is the time to lead in the way you have been dreaming of you know what i mean right those dreams desires of the kind of coach you will be is actually the coach you can be right now if you just freaking step up we are only ever the ones in our own way if you have been waiting to start the podcast start to show up on video start to write a blog start to design a program start to confidently share your services with the world start start start start where have you been holding back on really being the light that you are the leader that you are and being of the highest service you can be what needs to be released and what will you start today i have reopened a couple of ways to work with me to support you right now and enable you to keep growing expanding stepping up into the confident successful soulful coach you are rise up cca are here for you click the link in my bio for deats,social
98,fam,staring into the abyss but sis i am still glowing the last week has been rough but we got to keep going tell your besties and fam that you love them and stay strong but,social
99,fam,keeping the fam entertained with sourdough this morning we are hoping to make ciabatta later on flour water and yeast mixed together need to rest for a few hours now so reminder to self do not uncover the bowl which i was about to do before they stopped me,bio
100,fam,if you could take a single item of any kind to a desert island what would it be i am taking my blender the weather has been beautiful over here the past couple weeks but if that is not enough to cheer you up the next best thing is to have a thick antioxidant rich and nutrient packed smoothie bowl have a wonderful one fam details frozen bananas mixed frozen berries acai a scoop of berry perform,vocative
101,fam,i got love from the fam you do not owe me one,social
102,fam,post match interview with here is what shahrabani had to say about her goal against which has been entered for goal of the tournament check it on our stories right now before it disappears vote for your chance to win a pair of nike football boots by pm tonight open to uk residents only sorry international fam,social
103,fam,great staff are those who make work seem like play chance made us colleagues the love fun banter made us fam columbo party the night was a movie ya nah,social
104,fam,when you bump into chabam fam at the rave that week between christmas and new year when life is a blur,social
105,fam,having loads of fun already out with the best team only been with them for months feels like fam,social
